"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","0.498","","","","3"
"2023-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","0.105","","","","3"
"2023-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","0.115","","","","3"
"2023-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","0.171","","","","3"
"2024-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","0.414","","","","3"
"2024-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","0.126","","","","3"
"2024-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Household final consumption expenditure","Percent","239","units","0","v62305817","1.3.1.2","0.460","","","","3"
"2020-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","-0.813","","","","3"
"2020-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","-2.026","","","","3"
"2020-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","4.065","","","","3"
"2020-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","0.010","","","","3"
"2021-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","0.031","","","","3"
"2021-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","-0.550","","","","3"
"2021-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","0.754","","","","3"
"2021-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","0.053","","","","3"
"2022-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","0.260","","","","3"
"2022-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","0.000","","","","3"
"2022-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","-0.271","","","","3"
"2022-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","-0.042","","","","3"
"2023-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","0.291","","","","3"
"2023-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","0.061","","","","3"
"2023-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","-0.082","","","","3"
"2023-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","0.176","","","","3"
"2024-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","0.032","","","","3"
"2024-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","-0.036","","","","3"
"2024-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Goods","Percent","239","units","0","v62305818","1.3.1.3","0.241","","","","3"
"2020-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","-0.836","","","","3"
"2020-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","-0.902","","","","3"
"2020-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","2.295","","","","3"
"2020-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","0.013","","","","3"
"2021-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","-0.114","","","","3"
"2021-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","-0.099","","","","3"
"2021-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","0.069","","","","3"
"2021-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","0.068","","","","3"
"2022-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","0.150","","","","3"
"2022-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","-0.179","","","","3"
"2022-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","-0.120","","","","3"
"2022-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","0.006","","","","3"
"2023-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","0.200","","","","3"
"2023-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","-0.028","","","","3"
"2023-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","0.125","","","","3"
"2023-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","0.203","","","","3"
"2024-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","-0.020","","","","3"
"2024-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","-0.158","","","","3"
"2024-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Durable goods","Percent","239","units","0","v62305819","1.3.1.4","0.191","","","","3"
"2020-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","-0.371","","","","3"
"2020-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","-0.564","","","","3"
"2020-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","1.052","","","","3"
"2020-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","-0.074","","","","3"
"2021-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","0.024","","","","3"
"2021-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","-0.142","","","","3"
"2021-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","0.567","","","","3"
"2021-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","0.006","","","","3"
"2022-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","-0.038","","","","3"
"2022-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","0.182","","","","3"
"2022-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","-0.082","","","","3"
"2022-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","0.002","","","","3"
"2023-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","0.108","","","","3"
"2023-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","0.003","","","","3"
"2023-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","-0.139","","","","3"
"2023-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","-0.002","","","","3"
"2024-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","0.080","","","","3"
"2024-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","0.017","","","","3"
"2024-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Semi-durable goods","Percent","239","units","0","v62305820","1.3.1.5","0.014","","","","3"
"2020-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","0.394","","","","3"
"2020-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","-0.559","","","","3"
"2020-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","0.718","","","","3"
"2020-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","0.072","","","","3"
"2021-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","0.121","","","","3"
"2021-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","-0.308","","","","3"
"2021-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","0.118","","","","3"
"2021-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","-0.021","","","","3"
"2022-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","0.148","","","","3"
"2022-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","-0.004","","","","3"
"2022-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","-0.069","","","","3"
"2022-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","-0.050","","","","3"
"2023-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","-0.017","","","","3"
"2023-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","0.086","","","","3"
"2023-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","-0.067","","","","3"
"2023-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","-0.025","","","","3"
"2024-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","-0.028","","","","3"
"2024-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","0.104","","","","3"
"2024-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-durable goods","Percent","239","units","0","v62305821","1.3.1.6","0.036","","","","3"
"2020-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","-0.402","","","","3"
"2020-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","-6.073","","","","3"
"2020-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","2.887","","","","3"
"2020-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","0.248","","","","3"
"2021-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","0.239","","","","3"
"2021-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","0.529","","","","3"
"2021-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","2.040","","","","3"
"2021-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","0.480","","","","3"
"2022-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","-0.008","","","","3"
"2022-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","1.026","","","","3"
"2022-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","0.291","","","","3"
"2022-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","0.064","","","","3"
"2023-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","0.207","","","","3"
"2023-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","0.044","","","","3"
"2023-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","0.197","","","","3"
"2023-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","-0.005","","","","3"
"2024-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","0.382","","","","3"
"2024-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","0.163","","","","3"
"2024-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Services","Percent","239","units","0","v62305822","1.3.1.7","0.218","","","","3"
"2020-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.012","","","","3"
"2020-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","-0.120","","","","3"
"2020-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.069","","","","3"
"2020-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.050","","","","3"
"2021-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","-0.046","","","","3"
"2021-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","-0.009","","","","3"
"2021-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.020","","","","3"
"2021-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.035","","","","3"
"2022-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.022","","","","3"
"2022-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.026","","","","3"
"2022-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.010","","","","3"
"2022-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.004","","","","3"
"2023-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.025","","","","3"
"2023-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.016","","","","3"
"2023-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.003","","","","3"
"2023-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.008","","","","3"
"2024-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.012","","","","3"
"2024-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.004","","","","3"
"2024-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Percent","239","units","0","v62305823","1.3.1.8","0.004","","","","3"
"2020-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","General governments final consumption expenditure","Percent","239","units","0","v62305824","1.3.1.9","-0.025","","","","3"
"2020-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","General governments final consumption expenditure","Percent","239","units","0","v62305824","1.3.1.9","-0.797","","","","3"
"2020-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","General governments final consumption expenditure","Percent","239","units","0","v62305824","1.3.1.9","1.335","","","","3"
"2020-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","General governments final consumption expenditure","Percent","239","units","0","v62305824","1.3.1.9","0.303","","","","3"
"2021-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","General governments final consumption expenditure","Percent","239","units","0","v62305824","1.3.1.9","0.321","","","","3"
"2021-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","General governments final consumption expenditure","Percent","239","units","0","v62305824","1.3.1.9","0.247","","","","3"
"2021-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","General governments final consumption expenditure","Percent","239","units","0","v62305824","1.3.1.9","0.101","","","","3"
"2021-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","General governments final consumption expenditure","Percent","239","units","0","v62305824","1.3.1.9","0.156","","","","3"
"2022-01","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","General governments final consumption expenditure","Percent","239","units","0","v62305824","1.3.1.9","0.229","","","","3"
"2022-04","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","General governments final consumption expenditure","Percent","239","units","0","v62305824","1.3.1.9","0.024","","","","3"
"2022-07","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","General governments final consumption expenditure","Percent","239","units","0","v62305824","1.3.1.9","0.246","","","","3"
"2022-10","Canada","2016A000011124","Contributions to percent change","Seasonally adjusted at annual rates","General governments final consumption expenditure","Percent","239","units","0","v62305824","1.3.1.9","0.195","","","","3"
